발생년,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,경도,위도
2012,야간,일,1,1,0,0,0,127.05085267,37.50051332
2012,주간,금,1,1,0,0,0,127.03308793,37.48639224
2012,주간,월,1,1,0,0,0,127.06521974,37.50459615
2012,주간,토,1,1,0,0,0,127.06744721,37.50091776
2012,야간,화,1,4,2,0,1,127.06514815,37.50523585
2012,야간,화,1,1,0,0,0,127.04039514,37.50668346
2012,야간,일,1,1,0,0,0,127.05590603,37.522156
2012,야간,화,1,4,1,2,0,127.04150143,37.50524558
2012,야간,일,1,4,1,2,0,127.0214053,37.5108985
2013,야간,목,1,3,1,1,0,127.02291407,37.52984208
2013,야간,화,1,2,0,1,0,127.04829697,37.51159028
2012,야간,수,1,1,0,0,0,127.05242269,37.48956775
2012,주간,월,1,1,0,0,0,127.04406957,37.49969414
2013,주간,월,1,2,1,0,0,127.06490298,37.47923969
2013,야간,화,1,2,1,0,0,127.05545545,37.4740938
2013,주간,수,1,1,0,0,0,127.06034088,37.48379271
2012,야간,수,1,1,0,0,0,127.03263995,37.48749013
2013,야간,목,1,1,0,0,0,127.01702857,37.52285069
2013,야간,수,1,1,0,0,0,127.02959662,37.51642968
2013,주간,금,1,1,0,0,0,127.02185215,37.51002599
2012,야간,목,1,1,0,0,0,127.01993271,37.51468724
2012,주간,금,1,1,0,0,0,127.03546597,37.52613347
2012,야간,토,1,4,2,1,0,127.06924181,37.5036284
2012,야간,월,1,1,0,0,0,127.08686835,37.49346993
2012,주간,수,1,4,1,1,1,127.05966964,37.50757711
2012,야간,금,1,1,0,0,0,127.07390801,37.48883597
2014,야간,목,1,1,0,0,0,127.03695551,37.51035657
2014,주간,토,1,2,1,0,0,127.04362711,37.51104954
2013,야간,일,1,1,0,0,0,127.01740643,37.51865192
2013,야간,월,1,1,0,0,0,127.02757414,37.53388987
2012,야간,일,1,1,0,0,0,127.06596672,37.48891522
2012,야간,금,1,1,0,0,0,127.02674847,37.49975221
2013,야간,화,1,1,0,0,0,127.09234425,37.46419463
2013,야간,토,2,2,0,0,0,127.02812471,37.5275249
2013,야간,화,1,1,0,0,0,127.10023322,37.48830604
2013,야간,목,1,1,0,0,0,127.04330584,37.48168561
2012,주간,일,1,1,0,0,0,127.09551543,37.4653773
2014,야간,목,1,1,0,0,0,127.0210381,37.51187679
2013,야간,금,1,1,0,0,0,127.10026682,37.48836925
2012,야간,수,1,3,2,0,0,127.05723565,37.52504533
2013,야간,토,1,3,0,2,0,127.0584179,37.47612396
2013,주간,일,1,1,0,0,0,127.02110763,37.51675611
2013,야간,수,1,1,0,0,0,127.02345832,37.50655325
2012,야간,목,1,1,0,0,0,127.03008117,37.52036152
2013,주간,금,1,1,0,0,0,127.0535602,37.48090095
2012,야간,수,1,1,0,0,0,127.06244527,37.47787857
2013,주간,수,1,6,5,0,0,127.07522458,37.49804361
2013,야간,금,2,2,0,0,0,127.05157284,37.51251314
2013,야간,월,1,1,0,0,0,127.0563897,37.52074269
2014,주간,일,1,1,0,0,0,127.10697277,37.47274497
2013,주간,금,1,1,0,0,0,127.01751013,37.5218792
2013,주간,금,1,3,2,0,0,127.01711012,37.52301507
2013,주간,화,1,1,0,0,0,127.07688583,37.48672757
2013,주간,수,1,1,0,0,0,127.05095822,37.47154396
2013,주간,월,1,1,0,0,0,127.06516827,37.50176569
2014,야간,금,1,1,0,0,0,127.03284793,37.48678789
2013,야간,화,1,1,0,0,0,127.06978072,37.49646455
2013,야간,목,1,1,0,0,0,127.06498235,37.47920393
2012,야간,금,1,1,0,0,0,127.02653085,37.50017497
2014,야간,일,1,1,0,0,0,127.05150264,37.52462169
2014,주간,월,1,1,0,0,0,127.0588195,37.49822685
2014,주간,수,1,1,0,0,0,127.0953001,37.4921002
2014,주간,수,1,1,0,0,0,127.03007117,37.49307738
2014,야간,토,1,1,0,0,0,127.03826547,37.51628362
2014,주간,금,1,1,0,0,0,127.06609104,37.49088966
2014,야간,수,1,1,0,0,0,127.06458671,37.47916642
2014,주간,월,1,1,0,0,0,127.08069403,37.49104154
2014,야간,토,1,1,0,0,0,127.05654776,37.52080638
2014,야간,금,1,1,0,0,0,127.05162155,37.49869549
2014,주간,목,1,1,0,0,0,127.03173943,37.51395947
2014,야간,화,1,1,0,0,0,127.02624489,37.50066957
